Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
4.81451   ,-4.35098e+01,-4.35827e+01,-4.38100e+01,-4.37250e+01,-4.08284e+01,-5.43817e+01,-5.79337e+01,-5.45848e+01,,         0.34667,-2.90000e+01,
4.89767   ,-4.18890e+01,-4.23685e+01,-4.31404e+01,-4.48349e+01,-4.16392e+01,-5.56931e+01,-5.90697e+01,-5.42966e+01,,         0.34833,-2.90000e+01,
4.98083   ,-4.67628e+01,-4.23782e+01,-4.39850e+01,-4.78202e+01,-4.16107e+01,-5.45350e+01,-5.79266e+01,-5.27921e+01,,         0.35000,-2.90000e+01,
5.06399   ,-4.51132e+01,-4.58277e+01,-4.51788e+01,-4.64966e+01,-4.64824e+01,-5.56334e+01,-5.72824e+01,-5.39399e+01,,         0.35167,-2.90000e+01,
5.14715   ,-4.05736e+01,-4.52414e+01,-4.24554e+01,-4.29460e+01,-4.07347e+01,-5.35037e+01,-5.64453e+01,-5.60193e+01,,         0.35333,-2.90000e+01,
5.23031   ,-3.71919e+01,-4.22799e+01,-3.93765e+01,-3.76384e+01,-4.08376e+01,-5.66066e+01,-5.56440e+01,-5.88076e+01,,         0.35500,-2.90000e+01,
5.31347   ,-4.23795e+01,-4.37959e+01,-4.20941e+01,-4.47896e+01,-3.85762e+01,-5.45867e+01,-5.50504e+01,-6.17514e+01,,         0.35667,-2.90000e+01,
5.39664   ,-4.21825e+01,-4.27035e+01,-4.22621e+01,-4.48317e+01,-3.92778e+01,-5.60878e+01,-5.67210e+01,-6.27159e+01,,         0.35833,-2.90000e+01,
5.47980   ,-4.37023e+01,-4.46143e+01,-4.54163e+01,-4.57700e+01,-4.50217e+01,-5.56496e+01,-5.59598e+01,-6.21735e+01,,         0.36000,-2.80000e+01,
5.56296   ,-4.50518e+01,-4.34116e+01,-4.12188e+01,-3.98173e+01,-4.06621e+01,-5.58606e+01,-5.69423e+01,-6.09229e+01,,         0.36167,-2.80000e+01,
5.64612   ,-4.05897e+01,-4.22606e+01,-4.64732e+01,-3.99375e+01,-4.22836e+01,-5.73469e+01,-5.63273e+01,-5.93498e+01,,         0.36333,-2.80000e+01,
5.72927   ,-4.26168e+01,-4.13246e+01,-4.39757e+01,-4.43471e+01,-3.98685e+01,-5.53124e+01,-5.67147e+01,-5.83486e+01,,         0.36500,-2.70000e+01,
5.81243   ,-4.26570e+01,-4.17862e+01,-4.38078e+01,-4.49794e+01,-3.87968e+01,-5.42826e+01,-5.61644e+01,-5.60361e+01,,         0.36667,-2.70000e+01,
