Grayscale intensity in dB


TIC Param Data,
,MGrad.:,MGT:,Grad.:,ArT:,TtoP:,PI:,TWH:,TWR:,AUC:,WiAUC:,WoAUC:,
4.54578   ,-5.05272e+01,-3.50782e+01,-5.21317e+01,-4.65643e+01,-4.88426e+01,-4.92079e+01,-5.08744e+01,-4.31399e+01,,         0.24000,2.00000e+01,
4.59373   ,-5.05944e+01,-3.55535e+01,-5.30132e+01,-4.71935e+01,-4.76502e+01,-4.84534e+01,-5.15450e+01,-4.28491e+01,,         0.24167,2.60000e+01,
4.64168   ,-5.21276e+01,-3.57709e+01,-5.36758e+01,-4.74181e+01,-4.77228e+01,-4.94235e+01,-4.74565e+01,-4.18543e+01,,         0.24333,3.20000e+01,
4.68963   ,-5.12270e+01,-3.53859e+01,-5.22953e+01,-4.67661e+01,-4.66833e+01,-4.91078e+01,-5.00745e+01,-4.17224e+01,,         0.24500,3.70000e+01,
4.73758   ,-5.06012e+01,-3.59402e+01,-5.12289e+01,-4.67875e+01,-4.73650e+01,-5.05268e+01,-4.77893e+01,-4.10923e+01,,         0.24667,4.20000e+01,
4.78553   ,-5.00942e+01,-3.54371e+01,-5.30838e+01,-4.81733e+01,-4.51765e+01,-5.05302e+01,-4.79718e+01,-4.08422e+01,,         0.24833,4.50000e+01,
4.83347   ,-5.00426e+01,-3.64367e+01,-5.18251e+01,-4.47598e+01,-4.60780e+01,-4.96501e+01,-4.80853e+01,-4.12602e+01,,         0.25000,4.70000e+01,
4.88142   ,-4.98658e+01,-3.69285e+01,-5.21821e+01,-4.38520e+01,-4.47510e+01,-4.94362e+01,-4.65098e+01,-4.13020e+01,,         0.25167,4.80000e+01,
4.92937   ,-4.95585e+01,-3.71119e+01,-5.35497e+01,-4.35884e+01,-4.48304e+01,-5.02469e+01,-4.73604e+01,-4.12496e+01,,         0.25333,4.70000e+01,
4.97732   ,-4.98320e+01,-3.70456e+01,-5.27719e+01,-4.43461e+01,-4.51543e+01,-4.97413e+01,-4.63101e+01,-4.15564e+01,,         0.25500,4.40000e+01,
5.02527   ,-5.08084e+01,-3.63040e+01,-5.17686e+01,-4.64617e+01,-4.35998e+01,-4.89202e+01,-4.83439e+01,-4.09696e+01,,         0.25667,3.90000e+01,
5.07322   ,-5.02913e+01,-3.66445e+01,-5.14522e+01,-4.58666e+01,-4.36749e+01,-4.87692e+01,-4.79696e+01,-4.17082e+01,,         0.25833,3.40000e+01,
5.12117   ,-5.00692e+01,-3.69305e+01,-5.37686e+01,-4.46740e+01,-4.46012e+01,-4.96682e+01,-4.67711e+01,-4.19176e+01,,         0.26000,2.70000e+01,
5.16912   ,-5.03831e+01,-3.70320e+01,-5.24068e+01,-4.41928e+01,-4.45554e+01,-4.94787e+01,-4.64503e+01,-4.17655e+01,,         0.26167,2.00000e+01,
5.21707   ,-4.96852e+01,-3.71794e+01,-5.34027e+01,-4.44717e+01,-4.48560e+01,-4.99442e+01,-4.66529e+01,-4.20054e+01,,         0.26333,1.30000e+01,
5.26502   ,-5.02910e+01,-3.62087e+01,-5.22723e+01,-4.64117e+01,-4.34112e+01,-4.85810e+01,-4.93315e+01,-4.11802e+01,,         0.26500,7.00000e+00,
